GEOID,County,totalE,totalM,occupiedE,occupiedM,vacantE,vacantM,Year
51001,Accomack,20928,87,14085,488,6843,477,2010
51003,Albemarle,41357,289,37459,568,3898,501,2010
51005,Alleghany,8074,114,6964,225,1110,178,2010
51007,Amelia,5289,74,4901,196,388,173,2010
51009,Amherst,13884,284,12706,365,1178,278,2010
51011,Appomattox,6745,66,5976,204,769,191,2010
51013,Arlington,102156,605,91892,1246,10264,995,2010
51015,Augusta,30768,252,27909,486,2859,423,2010
51017,Bath,3113,260,2025,192,1088,208,2010
51019,Bedford,31410,88,27150,410,4260,399,2010
51021,Bland,3222,255,2580,217,642,154,2010
51023,Botetourt,14392,181,12918,279,1474,252,2010
51025,Brunswick,8102,229,6086,377,2016,318,2010
51027,Buchanan,11678,105,9123,305,2555,302,2010
51029,Buckingham,6439,1442,4859,1425,1580,269,2010
51031,Campbell,24422,92,22005,373,2417,358,2010
51033,Caroline,11454,109,10270,270,1184,252,2010
51035,Carroll,16356,79,12818,428,3538,410,2010
51036,Charles City,3192,19,2713,112,479,108,2010
51037,Charlotte,6222,57,4415,276,1807,271,2010
51041,Chesterfield,119664,273,112404,743,7260,666,2010
51043,Clarke,6185,62,5535,181,650,164,2010
51045,Craig,2429,229,1989,172,440,143,2010
51047,Culpeper,17446,163,15834,394,1612,338,2010
51049,Cumberland,4553,23,3969,195,584,194,2010
51051,Dickenson,7648,62,6170,232,1478,227,2010
51053,Dinwiddie,11186,122,9800,254,1386,232,2010
51057,Essex,5662,60,4466,242,1196,238,2010
51059,Fairfax,404109,329,381768,1481,22341,1391,2010
51061,Fauquier,25408,95,22369,513,3039,513,2010
51063,Floyd,7634,30,6334,250,1300,241,2010
51065,Fluvanna,10215,64,9128,269,1087,264,2010
51067,Franklin,28475,202,23355,462,5120,426,2010
51069,Frederick,30472,313,28558,450,1914,299,2010
51071,Giles,8273,95,7100,255,1173,235,2010
51073,Gloucester,15706,133,14014,342,1692,301,2010
51075,Goochland,7546,995,6831,957,715,196,2010
51077,Grayson,9215,61,6858,243,2357,239,2010
51079,Greene,7342,143,6709,237,633,190,2010
51081,Greensville,4073,63,3385,176,688,168,2010
51083,Halifax,17883,82,14650,435,3233,410,2010
51085,Hanover,37779,324,36114,463,1665,307,2010
51087,Henrico,130674,388,121767,934,8907,809,2010
51089,Henry,26331,87,22909,479,3422,472,2010
51091,Highland,1940,127,1130,96,810,91,2010
51093,Isle Of Wight,14411,88,13553,223,858,207,2010
51095,James City,28820,135,25851,415,2969,391,2010
51097,King And Queen,3352,12,2815,183,537,182,2010
51099,King George,9221,211,8194,360,1027,280,2010
51101,King William,6327,40,5909,167,418,164,2010
51103,Lancaster,7279,126,5421,224,1858,248,2010
51105,Lee,11686,66,9836,291,1850,283,2010
51107,Loudoun,104906,225,95330,902,9576,857,2010
51109,Louisa,15742,28,13253,368,2489,372,2010
51111,Lunenburg,5907,56,4515,234,1392,231,2010
51113,Madison,5898,38,5213,187,685,186,2010
51115,Mathews,5651,54,3773,282,1878,271,2010
51117,Mecklenburg,18513,136,12594,409,5919,419,2010
51119,Middlesex,7065,106,4303,277,2762,262,2010
51121,Montgomery,37455,502,34369,739,3086,460,2010
51125,Nelson,9784,54,6534,281,3250,284,2010
51127,New Kent,6984,155,6513,231,471,175,2010
51131,Northampton,7296,75,5088,275,2208,261,2010
51133,Northumberland,8944,27,5478,310,3466,308,2010
51135,Nottoway,6618,100,5607,253,1011,238,2010
51137,Orange,14364,133,12669,331,1695,330,2010
51139,Page,11500,96,9629,283,1871,272,2010
51141,Patrick,10110,76,7344,323,2766,324,2010
51143,Pittsylvania,30973,175,26563,500,4410,447,2010
51145,Powhatan,9026,991,8637,978,389,162,2010
51147,Prince Edward,8931,267,7314,435,1617,309,2010
51149,Prince George,11960,450,10474,508,1486,273,2010
51153,Prince William,133878,629,124879,1133,8999,848,2010
51155,Pulaski,17135,144,14898,392,2237,373,2010
51157,Rappahannock,3771,23,3163,171,608,169,2010
51159,Richmond,3803,355,3007,399,796,192,2010
51161,Roanoke,39661,272,37833,472,1828,358,2010
51163,Rockbridge,11003,44,9372,240,1631,240,2010
51165,Rockingham,32796,260,29701,445,3095,350,2010
51167,Russell,13511,36,11529,299,1982,299,2010
51169,Scott,11885,83,9610,316,2275,306,2010
51171,Shenandoah,20416,78,17316,397,3100,385,2010
51173,Smyth,15439,148,12992,371,2447,307,2010
51175,Southampton,7429,131,6571,213,858,176,2010
51177,Spotsylvania,44644,348,41009,569,3635,473,2010
51179,Stafford,43093,575,40183,754,2910,422,2010
51181,Surry,3449,23,2481,197,968,200,2010
51183,Sussex,4671,119,3796,210,875,151,2010
51185,Tazewell,20876,133,18015,367,2861,349,2010
51187,Warren,15755,108,14160,328,1595,296,2010
51191,Washington,25337,243,22711,468,2626,404,2010
51193,Westmoreland,10430,21,7135,316,3295,320,2010
51195,Wise,18009,166,15750,394,2259,332,2010
51197,Wythe,13886,90,11665,403,2221,389,2010
51199,York,26053,624,24002,799,2051,373,2010
51510,Alexandria City,71537,378,63738,831,7799,694,2010
51515,Bedford City,3056,184,2782,166,274,144,2010
51520,Bristol City,8817,139,7948,275,869,258,2010
51530,Buena Vista City,2906,63,2693,144,213,125,2010
51540,Charlottesville City,18943,907,17290,974,1653,288,2010
51550,Chesapeake City,82132,236,78778,564,3354,527,2010
51570,Colonial Heights City,7801,50,7075,226,726,208,2010
51580,Covington City,3098,19,2641,139,457,141,2010
51590,Danville City,22587,315,19448,511,3139,351,2010
51595,Emporia City,2649,173,2406,172,243,100,2010
51600,Fairfax City,8670,95,8524,130,146,87,2010
51610,Falls Church City,5342,20,4706,165,636,164,2010
51620,Franklin City,3908,55,3524,166,384,149,2010
51630,Fredericksburg City,10167,291,9206,389,961,241,2010
51640,Galax City,3639,483,3326,472,313,138,2010
51650,Hampton City,59233,286,53283,659,5950,609,2010
51660,Harrisonburg City,16502,506,14965,589,1537,330,2010
51670,Hopewell City,9986,60,8914,250,1072,238,2010
51678,Lexington City,2302,384,2108,387,194,105,2010
51680,Lynchburg City,31334,338,27875,617,3459,484,2010
51683,Manassas City,13024,92,11732,326,1292,302,2010
51685,Manassas Park City,4806,23,4206,168,600,173,2010
51690,Martinsville City,7226,101,5922,237,1304,205,2010
51700,Newport News City,76219,677,70653,994,5566,730,2010
51710,Norfolk City,94995,1070,85061,1295,9934,671,2010
51720,Norton City,1940,178,1764,168,176,117,2010
51730,Petersburg City,16149,157,12305,365,3844,359,2010
51735,Poquoson City,4685,18,4524,88,161,88,2010
51740,Portsmouth City,41015,778,37325,869,3690,454,2010
51750,Radford City,6424,282,5667,358,757,232,2010
51760,Richmond City,97325,615,83498,1080,13827,924,2010
51770,Roanoke City,47260,269,42833,618,4427,527,2010
51775,Salem City,10795,237,9890,343,905,237,2010
51790,Staunton City,11530,389,10408,442,1122,222,2010
51800,Suffolk City,32404,92,30126,431,2278,415,2010
51810,Virginia Beach City,176199,1114,163944,1354,12255,766,2010
51820,Waynesboro City,9631,155,8546,340,1085,292,2010
51830,Williamsburg City,5007,327,4069,370,938,238,2010
51840,Winchester City,11792,654,10221,787,1571,328,2010
51095,James City,29434,85,26356,452,3078,457,2011
51167,Russell,13499,34,11302,373,2197,374,2011
51173,Smyth,15438,127,12681,311,2757,296,2011
51515,Bedford City,3013,223,2776,192,237,138,2011
51678,Lexington City,1945,836,1727,838,218,106,2011
51031,Campbell,24619,77,21610,422,3009,416,2011
51089,Henry,26285,97,22871,461,3414,452,2011
51099,King George,9382,94,8200,303,1182,310,2011
51103,Lancaster,7353,56,5570,217,1783,219,2011
51105,Lee,11724,285,10001,370,1723,259,2011
51115,Mathews,5657,33,3788,276,1869,275,2011
51147,Prince Edward,9065,404,7334,493,1731,310,2011
51149,Prince George,12015,568,10725,623,1290,285,2011
51165,Rockingham,33306,140,29711,435,3595,402,2011
51169,Scott,11907,91,9701,282,2206,278,2011
51181,Surry,3443,18,2547,169,896,171,2011
51011,Appomattox,6841,28,5857,187,984,186,2011
51067,Franklin,28973,228,23581,512,5392,431,2011
51117,Mecklenburg,18564,159,12547,403,6017,375,2011
51121,Montgomery,38057,544,34591,804,3466,498,2011
51015,Augusta,31010,376,28021,552,2989,455,2011
51049,Cumberland,4595,22,3976,204,619,203,2011
51075,Goochland,8541,202,7822,251,719,173,2011
51083,Halifax,17959,137,14533,390,3426,380,2011
51113,Madison,5915,30,5185,189,730,188,2011
51153,Prince William,135777,272,127170,872,8607,741,2011
51175,Southampton,7452,286,6618,364,834,202,2011
51025,Brunswick,8144,425,6126,550,2018,328,2011
51033,Caroline,11627,115,10476,264,1151,242,2011
51131,Northampton,7298,62,5195,295,2103,281,2011
51141,Patrick,10088,39,7191,369,2897,364,2011
51163,Rockbridge,11072,81,9291,264,1781,276,2011
51171,Shenandoah,20710,65,17152,379,3558,389,2011
51720,Norton City,1929,180,1750,167,179,100,2011
51790,Staunton City,11636,157,10517,299,1119,252,2011
51065,Fluvanna,10312,202,9315,335,997,262,2011
51007,Amelia,5338,39,5001,190,337,182,2011
51750,Radford City,6422,231,5644,304,778,215,2011
51840,Winchester City,11845,161,10147,338,1698,307,2011
51001,Accomack,20965,207,13757,506,7208,465,2011
51045,Craig,2497,223,1976,181,521,182,2011
51063,Floyd,7725,41,6148,282,1577,273,2011
51071,Giles,8297,52,7054,208,1243,205,2011
51077,Grayson,9172,45,6760,357,2412,347,2011
51135,Nottoway,6631,88,5571,229,1060,225,2011
51157,Rappahannock,3836,16,3310,158,526,161,2011
51036,Charles City,3209,24,2747,111,462,104,2011
51047,Culpeper,17646,226,15750,373,1896,341,2011
51053,Dinwiddie,11327,95,9598,246,1729,234,2011
51079,Greene,7439,51,6802,230,637,215,2011
51085,Hanover,38118,146,36489,268,1629,241,2011
51111,Lunenburg,5921,245,4471,335,1450,199,2011
51137,Orange,14520,71,12614,374,1906,366,2011
51595,Emporia City,2728,180,2525,170,203,95,2011
51197,Wythe,13999,56,11610,393,2389,388,2011
51570,Colonial Heights City,7821,43,7136,205,685,204,2011
51660,Harrisonburg City,16984,366,15179,454,1805,340,2011
51021,Bland,3405,250,2663,237,742,133,2011
51023,Botetourt,14494,66,12789,294,1705,288,2011
51029,Buckingham,7181,479,5699,605,1482,307,2011
51520,Bristol City,8823,75,7873,235,950,241,2011
51580,Covington City,3081,21,2546,139,535,139,2011
51830,Williamsburg City,5096,272,4206,378,890,225,2011
51810,Virginia Beach City,177278,514,164041,1000,13237,873,2011
51035,Carroll,16483,141,12556,491,3927,459,2011
51191,Washington,25480,171,23064,461,2416,400,2011
51193,Westmoreland,10553,68,7077,399,3476,393,2011
51139,Page,11552,50,9538,280,2014,274,2011
51155,Pulaski,17205,140,14884,447,2321,420,2011
51510,Alexandria City,72059,231,64217,773,7842,750,2011
51590,Danville City,22493,182,18938,470,3555,425,2011
51650,Hampton City,59479,228,52667,759,6812,704,2011
51009,Amherst,13935,127,12693,285,1242,245,2011
51017,Bath,3014,314,1926,206,1088,241,2011
51027,Buchanan,11627,178,9135,341,2492,282,2011
51700,Newport News City,76235,499,69977,796,6258,631,2011
51179,Stafford,43627,219,40691,519,2936,453,2011
51680,Lynchburg City,31706,307,28513,483,3193,426,2011
51760,Richmond City,97929,721,83615,1175,14314,965,2011
51690,Martinsville City,7221,95,5958,251,1263,216,2011
51057,Essex,5717,34,4420,232,1297,228,2011
51185,Tazewell,20842,112,18019,413,2823,401,2011
51530,Buena Vista City,2925,58,2681,130,244,116,2011
51685,Manassas Park City,4872,35,4238,200,634,202,2011
51730,Petersburg City,16267,80,12179,381,4088,373,2011
51183,Sussex,4686,283,3600,356,1086,177,2011
51600,Fairfax City,8677,61,8470,131,207,102,2011
51683,Manassas City,13087,33,11872,301,1215,303,2011
51770,Roanoke City,47358,173,42892,551,4466,503,2011
51800,Suffolk City,32806,83,30305,497,2501,493,2011
51037,Charlotte,6263,41,4534,287,1729,283,2011
51041,Chesterfield,121264,318,112895,739,8369,733,2011
51081,Greensville,4086,473,3264,459,822,182,2011
51093,Isle Of Wight,14558,47,13528,234,1030,229,2011
51620,Franklin City,3910,51,3472,173,438,172,2011
51540,Charlottesville City,19088,288,17387,419,1701,287,2011
51087,Henrico,131897,279,122919,848,8978,772,2011
51101,King William,6448,36,5985,154,463,169,2011
51109,Louisa,16075,50,13213,350,2862,344,2011
51119,Middlesex,7103,98,4339,274,2764,258,2011
51159,Richmond,3828,203,2909,273,919,171,2011
51177,Spotsylvania,45044,70,41282,441,3762,440,2011
51043,Clarke,6220,66,5564,169,656,172,2011
51097,King And Queen,3384,14,2891,155,493,157,2011
51127,New Kent,7161,76,6552,208,609,208,2011
51051,Dickenson,7608,57,6183,258,1425,243,2011
51107,Loudoun,107556,109,99761,874,7795,868,2011
51161,Roanoke,39840,232,37975,400,1865,341,2011
51091,Highland,1880,88,1110,83,770,79,2011
51073,Gloucester,15789,53,13892,363,1897,364,2011
51145,Powhatan,9944,268,9468,303,476,190,2011
51061,Fauquier,25592,116,22888,404,2704,423,2011
51550,Chesapeake City,82763,333,78898,523,3865,479,2011
51003,Albemarle,41824,384,37398,579,4426,442,2011
51019,Bedford,31736,59,26979,422,4757,418,2011
51195,Wise,17972,337,15477,488,2495,377,2011
51740,Portsmouth City,40862,733,36899,840,3963,487,2011
51005,Alleghany,8066,66,6935,220,1131,206,2011
51640,Galax City,3940,294,3525,272,415,193,2011
51133,Northumberland,8973,23,5569,357,3404,358,2011
51187,Warren,15898,70,14203,331,1695,316,2011
51630,Fredericksburg City,10360,241,9341,416,1019,290,2011
51013,Arlington,104100,218,92436,1020,11664,990,2011
51670,Hopewell City,10066,59,8859,307,1207,300,2011
51069,Frederick,31036,176,28655,435,2381,438,2011
51199,York,26490,152,24259,396,2231,356,2011
51125,Nelson,9859,55,6539,349,3320,342,2011
51143,Pittsylvania,31170,94,26325,481,4845,468,2011
51610,Falls Church City,5421,30,4807,182,614,175,2011
51735,Poquoson City,4707,35,4525,97,182,94,2011
51820,Waynesboro City,9690,48,8750,220,940,223,2011
51775,Salem City,10814,166,9944,260,870,256,2011
51710,Norfolk City,95001,688,85076,976,9925,723,2011
51059,Fairfax,406394,367,385570,1449,20824,1432,2011
51095,James City,29881,76,26579,507,3302,504,2012
51167,Russell,13493,34,11140,384,2353,381,2012
51173,Smyth,15432,88,12567,365,2865,358,2012
51515,Bedford City,3057,214,2723,164,334,191,2012
51678,Lexington City,1982,860,1801,856,181,98,2012
51031,Campbell,24761,75,21581,497,3180,496,2012
51089,Henry,26282,93,22734,493,3548,479,2012
