GEOID,County,TotalE,TotalM,Year
51001,Accomack,34066,NA,2010
51003,Albemarle,96633,NA,2010
51005,Alleghany,16406,NA,2010
51007,Amelia,12517,NA,2010
51009,Amherst,32315,NA,2010
51011,Appomattox,14653,NA,2010
51013,Arlington,197467,NA,2010
51015,Augusta,73201,NA,2010
51017,Bath,4779,NA,2010
51019,Bedford,67697,NA,2010
51021,Bland,6873,NA,2010
51023,Botetourt,32867,NA,2010
51025,Brunswick,17707,NA,2010
51027,Buchanan,24459,NA,2010
51029,Buckingham,16874,NA,2010
51031,Campbell,54174,NA,2010
51033,Caroline,27844,NA,2010
51035,Carroll,29985,NA,2010
51036,Charles City,7205,NA,2010
51037,Charlotte,12644,NA,2010
51041,Chesterfield,308633,NA,2010
51043,Clarke,14013,NA,2010
51045,Craig,5173,NA,2010
51047,Culpeper,45749,NA,2010
51049,Cumberland,9855,NA,2010
51051,Dickenson,15966,NA,2010
51053,Dinwiddie,27449,NA,2010
51057,Essex,10901,NA,2010
51059,Fairfax,1048554,NA,2010
51061,Fauquier,64546,NA,2010
51063,Floyd,15030,NA,2010
51065,Fluvanna,25308,NA,2010
51067,Franklin,54938,NA,2010
51069,Frederick,75835,NA,2010
51071,Giles,17205,NA,2010
51073,Gloucester,36610,NA,2010
51075,Goochland,21136,NA,2010
51077,Grayson,15855,NA,2010
51079,Greene,18082,NA,2010
51081,Greensville,12181,NA,2010
51083,Halifax,36311,NA,2010
51085,Hanover,99172,NA,2010
51087,Henrico,300053,NA,2010
51089,Henry,54860,NA,2010
51091,Highland,2395,NA,2010
51093,Isle Of Wight,34762,NA,2010
51095,James City,64386,NA,2010
51097,King And Queen,6926,NA,2010
51099,King George,22794,NA,2010
51101,King William,15509,NA,2010
51103,Lancaster,11478,NA,2010
51105,Lee,25434,NA,2010
51107,Loudoun,291653,NA,2010
51109,Louisa,32248,NA,2010
51111,Lunenburg,12968,NA,2010
51113,Madison,13342,NA,2010
51115,Mathews,9004,NA,2010
51117,Mecklenburg,32774,NA,2010
51119,Middlesex,10831,NA,2010
51121,Montgomery,92527,NA,2010
51125,Nelson,14989,NA,2010
51127,New Kent,17655,NA,2010
51131,Northampton,12572,NA,2010
51133,Northumberland,12419,NA,2010
51135,Nottoway,15819,NA,2010
51137,Orange,32730,NA,2010
51139,Page,24116,NA,2010
51141,Patrick,18643,NA,2010
51143,Pittsylvania,63147,NA,2010
51145,Powhatan,27758,NA,2010
51147,Prince Edward,22723,NA,2010
51149,Prince George,35129,NA,2010
51153,Prince William,379415,NA,2010
51155,Pulaski,34963,NA,2010
51157,Rappahannock,7376,NA,2010
51159,Richmond,9328,NA,2010
51161,Roanoke,91583,NA,2010
51163,Rockbridge,22217,NA,2010
51165,Rockingham,74922,NA,2010
51167,Russell,28842,NA,2010
51169,Scott,23234,NA,2010
51171,Shenandoah,41468,NA,2010
51173,Smyth,32383,NA,2010
51175,Southampton,18493,NA,2010
51177,Spotsylvania,120212,NA,2010
51179,Stafford,124587,NA,2010
51181,Surry,7039,NA,2010
51183,Sussex,12167,NA,2010
51185,Tazewell,44706,NA,2010
51187,Warren,37044,NA,2010
51191,Washington,54322,NA,2010
51193,Westmoreland,17237,NA,2010
51195,Wise,41496,NA,2010
51197,Wythe,29005,NA,2010
51199,York,64846,NA,2010
51510,Alexandria City,133647,NA,2010
51515,Bedford City,6177,NA,2010
51520,Bristol City,17704,NA,2010
51530,Buena Vista City,6653,NA,2010
51540,Charlottesville City,42267,NA,2010
51550,Chesapeake City,219268,NA,2010
