"GEOID","NAME","TotalE","TotalM","year"
"51001","Accomack County, Virginia",34066,NA,2010
"51003","Albemarle County, Virginia",96633,NA,2010
"51005","Alleghany County, Virginia",16406,NA,2010
"51007","Amelia County, Virginia",12517,NA,2010
"51009","Amherst County, Virginia",32315,NA,2010
"51011","Appomattox County, Virginia",14653,NA,2010
"51013","Arlington County, Virginia",197467,NA,2010
"51015","Augusta County, Virginia",73201,NA,2010
"51017","Bath County, Virginia",4779,NA,2010
"51019","Bedford County, Virginia",67697,NA,2010
"51021","Bland County, Virginia",6873,NA,2010
"51023","Botetourt County, Virginia",32867,NA,2010
"51025","Brunswick County, Virginia",17707,NA,2010
"51027","Buchanan County, Virginia",24459,NA,2010
"51029","Buckingham County, Virginia",16874,NA,2010
"51031","Campbell County, Virginia",54174,NA,2010
"51033","Caroline County, Virginia",27844,NA,2010
"51035","Carroll County, Virginia",29985,NA,2010
"51036","Charles City County, Virginia",7205,NA,2010
"51037","Charlotte County, Virginia",12644,NA,2010
"51041","Chesterfield County, Virginia",308633,NA,2010
"51043","Clarke County, Virginia",14013,NA,2010
"51045","Craig County, Virginia",5173,NA,2010
"51047","Culpeper County, Virginia",45749,NA,2010
"51049","Cumberland County, Virginia",9855,NA,2010
"51051","Dickenson County, Virginia",15966,NA,2010
"51053","Dinwiddie County, Virginia",27449,NA,2010
"51057","Essex County, Virginia",10901,NA,2010
"51059","Fairfax County, Virginia",1048554,NA,2010
"51061","Fauquier County, Virginia",64546,NA,2010
"51063","Floyd County, Virginia",15030,NA,2010
"51065","Fluvanna County, Virginia",25308,NA,2010
"51067","Franklin County, Virginia",54938,NA,2010
"51069","Frederick County, Virginia",75835,NA,2010
"51071","Giles County, Virginia",17205,NA,2010
"51073","Gloucester County, Virginia",36610,NA,2010
"51075","Goochland County, Virginia",21136,NA,2010
"51077","Grayson County, Virginia",15855,NA,2010
"51079","Greene County, Virginia",18082,NA,2010
"51081","Greensville County, Virginia",12181,NA,2010
"51083","Halifax County, Virginia",36311,NA,2010
"51085","Hanover County, Virginia",99172,NA,2010
"51087","Henrico County, Virginia",300053,NA,2010
"51089","Henry County, Virginia",54860,NA,2010
"51091","Highland County, Virginia",2395,NA,2010
"51093","Isle of Wight County, Virginia",34762,NA,2010
"51095","James City County, Virginia",64386,NA,2010
"51097","King and Queen County, Virginia",6926,NA,2010
"51099","King George County, Virginia",22794,NA,2010
"51101","King William County, Virginia",15509,NA,2010
"51103","Lancaster County, Virginia",11478,NA,2010
"51105","Lee County, Virginia",25434,NA,2010
"51107","Loudoun County, Virginia",291653,NA,2010
"51109","Louisa County, Virginia",32248,NA,2010
"51111","Lunenburg County, Virginia",12968,NA,2010
"51113","Madison County, Virginia",13342,NA,2010
"51115","Mathews County, Virginia",9004,NA,2010
"51117","Mecklenburg County, Virginia",32774,NA,2010
"51119","Middlesex County, Virginia",10831,NA,2010
"51121","Montgomery County, Virginia",92527,NA,2010
"51125","Nelson County, Virginia",14989,NA,2010
"51127","New Kent County, Virginia",17655,NA,2010
"51131","Northampton County, Virginia",12572,NA,2010
"51133","Northumberland County, Virginia",12419,NA,2010
"51135","Nottoway County, Virginia",15819,NA,2010
"51137","Orange County, Virginia",32730,NA,2010
"51139","Page County, Virginia",24116,NA,2010
"51141","Patrick County, Virginia",18643,NA,2010
"51143","Pittsylvania County, Virginia",63147,NA,2010
"51145","Powhatan County, Virginia",27758,NA,2010
"51147","Prince Edward County, Virginia",22723,NA,2010
"51149","Prince George County, Virginia",35129,NA,2010
"51153","Prince William County, Virginia",379415,NA,2010
"51155","Pulaski County, Virginia",34963,NA,2010
"51157","Rappahannock County, Virginia",7376,NA,2010
"51159","Richmond County, Virginia",9328,NA,2010
"51161","Roanoke County, Virginia",91583,NA,2010
"51163","Rockbridge County, Virginia",22217,NA,2010
"51165","Rockingham County, Virginia",74922,NA,2010
"51167","Russell County, Virginia",28842,NA,2010
"51169","Scott County, Virginia",23234,NA,2010
"51171","Shenandoah County, Virginia",41468,NA,2010
"51173","Smyth County, Virginia",32383,NA,2010
"51175","Southampton County, Virginia",18493,NA,2010
"51177","Spotsylvania County, Virginia",120212,NA,2010
"51179","Stafford County, Virginia",124587,NA,2010
"51181","Surry County, Virginia",7039,NA,2010
"51183","Sussex County, Virginia",12167,NA,2010
"51185","Tazewell County, Virginia",44706,NA,2010
"51187","Warren County, Virginia",37044,NA,2010
"51191","Washington County, Virginia",54322,NA,2010
"51193","Westmoreland County, Virginia",17237,NA,2010
"51195","Wise County, Virginia",41496,NA,2010
"51197","Wythe County, Virginia",29005,NA,2010
"51199","York County, Virginia",64846,NA,2010
"51510","Alexandria city, Virginia",133647,NA,2010
"51515","Bedford city, Virginia",6177,NA,2010
"51520","Bristol city, Virginia",17704,NA,2010
"51530","Buena Vista city, Virginia",6653,NA,2010
"51540","Charlottesville city, Virginia",42267,NA,2010
"51550","Chesapeake city, Virginia",219268,NA,2010
"51570","Colonial Heights city, Virginia",17472,NA,2010
"51580","Covington city, Virginia",5989,NA,2010
"51590","Danville city, Virginia",43787,NA,2010
"51595","Emporia city, Virginia",5822,NA,2010
"51600","Fairfax city, Virginia",22058,NA,2010
"51610","Falls Church city, Virginia",11465,NA,2010
"51620","Franklin city, Virginia",8549,NA,2010
"51630","Fredericksburg city, Virginia",23375,NA,2010
"51640","Galax city, Virginia",6936,NA,2010
"51650","Hampton city, Virginia",139046,NA,2010
"51660","Harrisonburg city, Virginia",47406,NA,2010
