"","GEOID","NAME","variable","estimate","moe","year"
"1","51001","Accomack County, Virginia","B25001_001",20928,87,2010
"2","51003","Albemarle County, Virginia","B25001_001",41357,289,2010
"3","51005","Alleghany County, Virginia","B25001_001",8074,114,2010
"4","51007","Amelia County, Virginia","B25001_001",5289,74,2010
"5","51009","Amherst County, Virginia","B25001_001",13884,284,2010
"6","51011","Appomattox County, Virginia","B25001_001",6745,66,2010
"7","51013","Arlington County, Virginia","B25001_001",102156,605,2010
"8","51015","Augusta County, Virginia","B25001_001",30768,252,2010
"9","51017","Bath County, Virginia","B25001_001",3113,260,2010
"10","51019","Bedford County, Virginia","B25001_001",31410,88,2010
"11","51021","Bland County, Virginia","B25001_001",3222,255,2010
"12","51023","Botetourt County, Virginia","B25001_001",14392,181,2010
"13","51025","Brunswick County, Virginia","B25001_001",8102,229,2010
"14","51027","Buchanan County, Virginia","B25001_001",11678,105,2010
"15","51029","Buckingham County, Virginia","B25001_001",6439,1442,2010
"16","51031","Campbell County, Virginia","B25001_001",24422,92,2010
"17","51033","Caroline County, Virginia","B25001_001",11454,109,2010
"18","51035","Carroll County, Virginia","B25001_001",16356,79,2010
"19","51036","Charles City County, Virginia","B25001_001",3192,19,2010
"20","51037","Charlotte County, Virginia","B25001_001",6222,57,2010
"21","51041","Chesterfield County, Virginia","B25001_001",119664,273,2010
"22","51043","Clarke County, Virginia","B25001_001",6185,62,2010
"23","51045","Craig County, Virginia","B25001_001",2429,229,2010
"24","51047","Culpeper County, Virginia","B25001_001",17446,163,2010
"25","51049","Cumberland County, Virginia","B25001_001",4553,23,2010
"26","51051","Dickenson County, Virginia","B25001_001",7648,62,2010
"27","51053","Dinwiddie County, Virginia","B25001_001",11186,122,2010
"28","51057","Essex County, Virginia","B25001_001",5662,60,2010
"29","51059","Fairfax County, Virginia","B25001_001",404109,329,2010
"30","51061","Fauquier County, Virginia","B25001_001",25408,95,2010
"31","51063","Floyd County, Virginia","B25001_001",7634,30,2010
"32","51065","Fluvanna County, Virginia","B25001_001",10215,64,2010
