"GEOID","NAME","totalE","totalM","occupiedE","occupiedM","vacantE","vacantM"
"51001","Accomack County, Virginia",21897,39,14302,503,7595,508
"51003","Albemarle County, Virginia",48360,88,45064,398,3296,387
"51005","Alleghany County, Virginia",7916,25,6292,239,1624,236
"51007","Amelia County, Virginia",5770,25,5285,181,485,178
"51009","Amherst County, Virginia",14301,33,12702,319,1599,321
"51011","Appomattox County, Virginia",7380,37,6563,205,817,199
"51013","Arlington County, Virginia",120746,83,111530,973,9216,962
"51015","Augusta County, Virginia",32890,55,30644,429,2246,426
"51017","Bath County, Virginia",3336,208,1781,144,1555,201
"51019","Bedford County, Virginia",37383,39,32698,526,4685,524
"51021","Bland County, Virginia",3205,18,2345,169,860,168
"51023","Botetourt County, Virginia",15010,46,13105,319,1905,318
"51025","Brunswick County, Virginia",7935,25,6390,258,1545,257
"51027","Buchanan County, Virginia",10340,32,7351,342,2989,342
"51029","Buckingham County, Virginia",7233,35,6062,192,1171,194
"51031","Campbell County, Virginia",25363,41,22080,469,3283,467
"51033","Caroline County, Virginia",12693,64,11680,291,1013,281
"51035","Carroll County, Virginia",16645,25,12493,486,4152,487
"51036","Charles City County, Virginia",3269,23,2947,74,322,67
"51037","Charlotte County, Virginia",5973,20,4621,214,1352,207
"51041","Chesterfield County, Virginia",142572,156,136996,606,5576,612
"51043","Clarke County, Virginia",6478,22,5651,240,827,242
"51045","Craig County, Virginia",2397,240,1752,220,645,191
"51047","Culpeper County, Virginia",19529,37,18584,320,945,316
"51049","Cumberland County, Virginia",4695,15,4175,180,520,183
"51051","Dickenson County, Virginia",7352,20,5717,234,1635,236
"51053","Dinwiddie County, Virginia",11896,48,10427,346,1469,337
"51057","Essex County, Virginia",5785,17,4396,207,1389,208
"51059","Fairfax County, Virginia",428352,241,412663,1185,15689,1143
"51061","Fauquier County, Virginia",28454,61,26266,373,2188,382
"51063","Floyd County, Virginia",7946,28,6649,257,1297,255
"51065","Fluvanna County, Virginia",11329,66,10251,255,1078,240
"51067","Franklin County, Virginia",28344,49,22484,541,5860,553
"51069","Frederick County, Virginia",36617,51,34338,355,2279,363
"51071","Giles County, Virginia",8316,21,6769,271,1547,267
"51073","Gloucester County, Virginia",17204,34,15111,448,2093,453
"51075","Goochland County, Virginia",10913,30,10013,235,900,238
"51077","Grayson County, Virginia",8961,28,6202,270,2759,274
"51079","Greene County, Virginia",8687,25,7912,281,775,277
"51081","Greensville County, Virginia",4012,31,3092,180,920,178
"51083","Halifax County, Virginia",17382,40,13673,373,3709,370
"51085","Hanover County, Virginia",43983,69,42012,403,1971,402
"51087","Henrico County, Virginia",142964,194,135599,854,7365,787
"51089","Henry County, Virginia",25445,56,20503,535,4942,537
"51091","Highland County, Virginia",1839,119,1003,106,836,105
"51093","Isle of Wight County, Virginia",16827,35,15426,283,1401,275
"51095","James City County, Virginia",34400,37,31351,503,3049,494
"51097","King and Queen County, Virginia",3485,15,2814,159,671,156
"51099","King George County, Virginia",10540,30,9877,188,663,190
"51101","King William County, Virginia",7605,28,7115,174,490,176
"51103","Lancaster County, Virginia",7483,25,5468,235,2015,239
"51105","Lee County, Virginia",10857,32,8446,348,2411,342
"51107","Loudoun County, Virginia",144804,140,140823,521,3981,531
"51109","Louisa County, Virginia",18047,44,15211,369,2836,368
"51111","Lunenburg County, Virginia",5903,27,4669,229,1234,231
"51113","Madison County, Virginia",6110,21,5392,178,718,180
"51115","Mathews County, Virginia",5486,13,3767,317,1719,318
"51117","Mecklenburg County, Virginia",19184,32,13395,476,5789,470
"51119","Middlesex County, Virginia",7140,25,4733,269,2407,265
"51121","Montgomery County, Virginia",42229,130,36731,646,5498,609
"51125","Nelson County, Virginia",9947,24,6470,318,3477,314
"51127","New Kent County, Virginia",9495,25,9034,245,461,250
"51131","Northampton County, Virginia",7456,23,5338,214,2118,212
"51133","Northumberland County, Virginia",9009,16,5436,340,3573,342
"51135","Nottoway County, Virginia",6683,47,5492,246,1191,237
"51137","Orange County, Virginia",15895,31,14667,350,1228,348
"51139","Page County, Virginia",11878,45,9509,357,2369,356
"51141","Patrick County, Virginia",10006,25,7797,335,2209,333
"51143","Pittsylvania County, Virginia",29468,48,24633,491,4835,501
"51145","Powhatan County, Virginia",11841,36,11151,236,690,236
"51147","Prince Edward County, Virginia",9171,130,7560,349,1611,328
"51149","Prince George County, Virginia",13444,131,12718,262,726,232
"51153","Prince William County, Virginia",160256,241,154609,663,5647,569
"51155","Pulaski County, Virginia",17039,49,14386,367,2653,367
"51157","Rappahannock County, Virginia",3848,14,2861,188,987,188
"51159","Richmond County, Virginia",3959,19,2931,201,1028,203
"51161","Roanoke County, Virginia",42251,56,39231,457,3020,457
"51163","Rockbridge County, Virginia",11315,23,9552,285,1763,285
"51165","Rockingham County, Virginia",36095,42,32048,419,4047,416
"51167","Russell County, Virginia",12772,23,10470,321,2302,321
"51169","Scott County, Virginia",11776,24,8951,295,2825,294
"51171","Shenandoah County, Virginia",21319,105,17782,373,3537,362
"51173","Smyth County, Virginia",15080,56,12530,338,2550,329
"51175","Southampton County, Virginia",7774,40,6887,205,887,203
"51177","Spotsylvania County, Virginia",54020,66,51289,430,2731,425
"51179","Stafford County, Virginia",53864,55,51309,417,2555,404
"51181","Surry County, Virginia",3438,18,2755,143,683,145
"51183","Sussex County, Virginia",4672,39,3705,188,967,180
"51185","Tazewell County, Virginia",19804,36,15951,411,3853,405
"51187","Warren County, Virginia",16936,51,15357,348,1579,353
"51191","Washington County, Virginia",25505,68,22118,342,3387,336
"51193","Westmoreland County, Virginia",11300,18,8029,420,3271,417
"51195","Wise County, Virginia",16659,46,14055,342,2604,343
"51197","Wythe County, Virginia",14016,42,12396,324,1620,329
"51199","York County, Virginia",28211,54,26445,300,1766,299
"51510","Alexandria city, Virginia",80570,86,75349,514,5221,495
"51520","Bristol city, Virginia",8654,24,7327,265,1327,263
"51530","Buena Vista city, Virginia",2944,14,2611,153,333,156
"51540","Charlottesville city, Virginia",21559,102,19699,341,1860,337
"51550","Chesapeake city, Virginia",95997,147,92361,651,3636,621
"51570","Colonial Heights city, Virginia",8126,22,7545,182,581,184
"51580","Covington city, Virginia",3038,24,2493,132,545,135
